,N_TOPICS,ALPHA,ETA,PERPLEXITY,COHERENCE
151,13,0.001,0.5,8093.13498851555,0.8814173900164092
152,13,0.001,0.75,7429.933716688881,0.9152039981805361
153,13,0.001,1.0,7635.906631697172,0.8513872985656443
154,13,0.01,0.001,12317.427001116366,0.44562343866206133
155,13,0.01,0.01,9841.983827242011,0.4810109698428557
156,13,0.01,0.1,8747.48542177215,0.6654044001148297
157,13,0.01,0.2,8471.697640406093,0.7796205740708572
158,13,0.01,0.5,7790.455894892013,0.8905735891598922
159,13,0.01,0.75,7763.991170098095,0.8875711198036487
160,13,0.01,1.0,7613.137584706867,0.8043575181410862
161,13,0.1,0.001,12433.999964008886,0.46300288006090207
162,13,0.1,0.01,9858.669237728865,0.49520969180605157
163,13,0.1,0.1,9235.084715825451,0.6473463263649207
164,13,0.1,0.2,8542.680656860588,0.8022863656282424
165,13,0.1,0.5,7795.471922668768,0.8962934264769923
166,13,0.1,0.75,7439.289875202446,0.9149085292449364
167,13,0.1,1.0,7141.3782884511475,0.9092619506212378
168,13,0.2,0.001,12444.992277335547,0.4338513970375061
169,13,0.2,0.01,9738.36614058964,0.5166136425275069
170,13,0.2,0.1,8739.595753189298,0.6342104404305036
171,13,0.2,0.2,8429.204150544054,0.7945983270039926
172,13,0.2,0.5,8184.143359797336,0.8795850446591011
173,13,0.2,0.75,7446.516536898172,0.9120927838178782
174,13,0.2,1.0,7131.96011003571,0.9149355292320251
175,13,0.5,0.001,12238.851905018324,0.4401987099303649
176,13,0.5,0.01,9686.58851922324,0.5339824016277608
177,13,0.5,0.1,8949.136870853825,0.7116418730754118
178,13,0.5,0.2,8447.936819075861,0.7761720379957785
179,13,0.5,0.5,8077.338075631535,0.8825138192910414
180,13,0.5,0.75,7437.900594605245,0.9139471462139717
181,13,0.5,1.0,7673.346554665057,0.8556178019596979
182,13,0.75,0.001,12503.320448387529,0.44622301608324044
183,13,0.75,0.01,9615.84610173474,0.5398231061032185
184,13,0.75,0.1,8884.595327845138,0.6761392483344445
185,13,0.75,0.2,8509.75634603945,0.7648178070783616
186,13,0.75,0.5,8436.16456243218,0.8821800795885232
187,13,0.75,0.75,7429.202220631922,0.9178136110305787
188,13,0.75,1.0,7167.851143696394,0.9077108305234175
189,13,1.0,0.001,12581.681679930753,0.4510722522838757
190,13,1.0,0.01,9835.962340500302,0.5059693117805111
191,13,1.0,0.1,8712.56553271355,0.6815049178898334
192,13,1.0,0.2,8514.97826050952,0.804913616638917
193,13,1.0,0.5,8108.067317762146,0.8830653410691482
